SNR,MCLDNN,MCFormer,PET-CGDNN,AMC-Net,FEA-T,IQFormer,IQFormerLite
-20,0.09581818181818177,0.09554545454545452,0.09390909090909087,0.09581818181818177,0.09790909090909086,0.0975454545454545,0.09690909090909086
-18,0.09336363636363634,0.09772727272727269,0.09627272727272725,0.09581818181818177,0.09727272727272725,0.09609090909090906,0.09527272727272726
-16,0.0945454545454545,0.09781818181818178,0.09645454545454543,0.0965454545454545,0.09854545454545448,0.10354545454545452,0.10209090909090904
-14,0.11072727272727267,0.1275454545454545,0.11645454545454541,0.12618181818181815,0.12845454545454543,0.1335454545454545,0.12381818181818179
-12,0.14099999999999996,0.1578181818181818,0.15245454545454545,0.16599999999999998,0.16536363636363635,0.18036363636363634,0.16809090909090907
-10,0.22345454545454543,0.23445454545454542,0.23163636363636358,0.2510909090909091,0.2386363636363636,0.26354545454545447,0.24609090909090905
-8,0.3319090909090909,0.34345454545454546,0.3276363636363636,0.36781818181818177,0.36172727272727273,0.40163636363636357,0.38845454545454544
-6,0.4589090909090909,0.5099090909090909,0.4718181818181818,0.5369090909090909,0.5152727272727272,0.5913636363636364,0.594
-4,0.5753636363636364,0.635,0.5859090909090909,0.6708181818181818,0.642909090909091,0.7273636363636363,0.7398181818181818
-2,0.6708181818181818,0.7129090909090909,0.6787272727272727,0.7865454545454545,0.7458181818181818,0.8441818181818181,0.8455454545454545
0,0.7337272727272728,0.7693636363636364,0.7588181818181818,0.8536363636363637,0.8062727272727273,0.9052727272727272,0.9018181818181817
2,0.7713636363636363,0.7930909090909091,0.7990909090909091,0.8676363636363635,0.8464545454545455,0.924,0.9190909090909092
4,0.7843636363636364,0.7938181818181818,0.8059090909090909,0.8698181818181819,0.859,0.9242727272727272,0.9141818181818182
6,0.7931818181818182,0.8145454545454545,0.8235454545454545,0.8832727272727272,0.8668181818181818,0.933,0.9278181818181819
8,0.7963636363636364,0.8089999999999999,0.8209090909090909,0.8789090909090909,0.8629999999999999,0.932,0.9203636363636363
10,0.7944545454545455,0.8163636363636364,0.8185454545454546,0.8805454545454545,0.8665454545454546,0.9309999999999998,0.9236363636363636
12,0.7933636363636364,0.8086363636363636,0.8229090909090908,0.8809090909090909,0.8680909090909091,0.9322727272727273,0.9305454545454545
14,0.798,0.8190909090909091,0.8255454545454546,0.8834545454545454,0.8715454545454545,0.932,0.9316363636363636
16,0.79,0.808090909090909,0.8215454545454545,0.8845454545454545,0.866,0.9313636363636364,0.9340909090909092
18,0.7947272727272727,0.8146363636363636,0.8252727272727272,0.8818181818181818,0.867909090909091,0.9354545454545455,0.933
