dataset,variant,delta_vs_full_pp,ci95_low_pp,ci95_high_pp
2016.10a,conv_k3,-0.13636363636363225,-0.5904762476852521,0.31774897495798765
2016.10a,conv_k7,-0.06818181818181612,-0.3686182503938099,0.23225461403017766
2016.10a,conv_k15,0.1454545454545464,-0.2138391674682753,0.5047482583773681
2016.10a,conv_k31,0.18000000000000238,-0.3502941973751297,0.7102941973751344
2016.10a,conv_k51,-0.027272727272724673,-0.38885316402980735,0.334307709484358
2016.10b,conv_k3,2.575916666666669,2.1318173626135666,3.020015970719771
2016.10b,conv_k7,-0.4544999999999977,-0.5598703695187964,-0.34912963048119894
2016.10b,conv_k15,-0.5342499999999983,-0.7733227777850675,-0.2951772222149291
2016.10b,conv_k31,-0.33266666666666556,-0.5239190613861975,-0.14141427194713363
2016.10b,conv_k51,-0.27674999999999894,-0.41275783334723504,-0.14074216665276287
