dataset,variant,n,overall_mean,overall_std,overall_pm,low_snr_mean,low_snr_std,low_snr_pm,high_snr_mean,high_snr_std,high_snr_pm,params,flops
2016.10a,conv_k3,5,0.63045,0.0024349703444831437,63.04 ± 0.24,0.39095041322314045,0.0035863626603208046,39.10 ± 0.36,0.9211636363636364,0.0033805777294899876,92.12 ± 0.34,118735,29524352
2016.10b,conv_k3,5,0.6808833333333333,0.003203910642133691,68.09 ± 0.32,0.47144696969696964,0.005723771877767645,47.14 ± 0.57,0.9356300000000001,0.0002749747463152172,93.56 ± 0.03,118670,29524224
2016.10a,conv_k7,5,0.6311318181818182,0.001566649448941207,63.11 ± 0.16,0.3911322314049587,0.002582495863484073,39.11 ± 0.26,0.9220545454545455,0.0025588930974734243,92.21 ± 0.26,118991,29589888
2016.10a,conv_k15,5,0.6332681818181818,0.0016987325124222556,63.33 ± 0.17,0.3921157024793388,0.0025461722182447658,39.21 ± 0.25,0.9255545454545455,0.0021104325669954118,92.56 ± 0.21,119503,29720960
2016.10a,conv_k51,5,0.6315409090909092,0.0009966887326302255,63.15 ± 0.10,0.38991735537190086,0.0036451574735953643,38.99 ± 0.36,0.9248727272727273,0.003745024247127126,92.49 ± 0.37,121807,30310784
2016.10b,conv_k7,5,0.6505791666666666,0.0011454772173882387,65.06 ± 0.11,0.4173181818181818,0.002454492844553983,41.73 ± 0.25,0.9341816666666667,0.0004357464859295868,93.42 ± 0.04,118926,29589760
2016.10b,conv_k15,5,0.6497816666666667,0.0008085137255758171,64.98 ± 0.08,0.4150333333333333,0.0014569661044679255,41.50 ± 0.15,0.9351800000000001,0.0005725976384474625,93.52 ± 0.06,119438,29720832
2016.10b,conv_k51,5,0.6523566666666666,0.001573592845829074,65.24 ± 0.16,0.419890909090909,0.002505787607423485,41.99 ± 0.25,0.9350083333333334,0.0011456590776589028,93.50 ± 0.11,121742,30310656
2016.10a,conv_k31,5,0.6336136363636363,0.0035825924982147506,63.36 ± 0.36,0.3919338842975206,0.003992834747615722,39.19 ± 0.40,0.9268454545454545,0.00394991892374166,92.68 ± 0.39,120527,29983104
2016.10b,conv_k31,5,0.6517975,0.0005785338269184402,65.18 ± 0.06,0.41821515151515143,0.0011369771071348558,41.82 ± 0.11,0.93581,0.0004077121124845948,93.58 ± 0.04,120462,29982976
2016.10a,full_lkf_k31,5,0.6318136363636363,0.0022373034795271207,63.18 ± 0.22,0.3910826446280991,0.002274304486536443,39.11 ± 0.23,0.9236181818181819,0.004450322673787431,92.36 ± 0.45,128467,32019840
2016.10b,full_lkf_k31,5,0.6551241666666666,0.0013430485895487671,65.51 ± 0.13,0.4227833333333333,0.002157060448762221,42.28 ± 0.22,0.9375416666666666,0.0005007633062525803,93.75 ± 0.05,128402,32019712
