SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-20,0.093030303030303,0.0904545454545454,0.0933333333333333,0.0924242424242424,0.0933333333333333,0.0922727272727272,0.0951515151515151,0.0943939393939393,0.0925757575757575,0.0936363636363636,0.096060606060606,0.0933333333333333,0.0918181818181818,0.0942424242424242,0.0934848484848484,0.095,0.095,0.0956060606060606,0.0963636363636363,0.0971212121212121,0.0969696969696969,0.0965151515151515,0.0983333333333333,0.1013636363636363,0.1003030303030303,0.1015151515151515,0.1036363636363636,0.1025757575757575,0.1031818181818181,0.1048484848484848,0.1065151515151515,0.114090909090909,0.114090909090909,0.1145454545454545,0.1159090909090909,0.11893939393939394
-18,0.0936363636363636,0.0962121212121212,0.0965151515151515,0.0963636363636363,0.096060606060606,0.0981818181818181,0.0989393939393939,0.0977272727272727,0.0968181818181818,0.0963636363636363,0.098030303030303,0.0975757575757575,0.0937878787878787,0.0998484848484848,0.0989393939393939,0.1022727272727272,0.0989393939393939,0.0972727272727272,0.1015151515151515,0.0983333333333333,0.1019696969696969,0.101060606060606,0.1007575757575757,0.105,0.1037878787878787,0.1031818181818181,0.1034848484848484,0.106060606060606,0.1078787878787878,0.1083333333333333,0.1121212121212121,0.1107575757575757,0.1163636363636363,0.1112121212121212,0.1224242424242424,0.12257575757575757
-16,0.096060606060606,0.0971212121212121,0.0946969696969697,0.0968181818181818,0.0986363636363636,0.0969696969696969,0.0996969696969697,0.1027272727272727,0.0993939393939394,0.1013636363636363,0.1042424242424242,0.1037878787878787,0.1037878787878787,0.1037878787878787,0.1042424242424242,0.1024242424242424,0.1063636363636363,0.1045454545454545,0.1028787878787878,0.1071212121212121,0.1054545454545454,0.1095454545454545,0.1062121212121212,0.1151515151515151,0.113030303030303,0.1148484848484848,0.116060606060606,0.116060606060606,0.121060606060606,0.1212121212121212,0.1269696969696969,0.1290909090909091,0.1313636363636363,0.1363636363636363,0.1343939393939394,0.1403030303030303
-14,0.1124242424242424,0.1218181818181818,0.121060606060606,0.1262121212121212,0.1272727272727272,0.128030303030303,0.1292424242424242,0.1333333333333333,0.1301515151515151,0.1331818181818181,0.1337878787878788,0.1337878787878788,0.1365151515151515,0.1377272727272727,0.1422727272727272,0.1404545454545454,0.1387878787878788,0.141060606060606,0.1395454545454545,0.141060606060606,0.1428787878787878,0.1413636363636363,0.1478787878787879,0.1545454545454545,0.1566666666666666,0.1545454545454545,0.1586363636363636,0.1563636363636363,0.1603030303030303,0.1624242424242424,0.1707575757575757,0.1712121212121212,0.1774242424242424,0.1753030303030303,0.1807575757575757,0.1831818181818182
-12,0.1396969696969697,0.1733333333333333,0.1696969696969697,0.1827272727272727,0.1845454545454545,0.1801515151515151,0.1818181818181818,0.1809090909090909,0.1842424242424242,0.1698484848484848,0.1777272727272727,0.1743939393939394,0.1769696969696969,0.1803030303030303,0.1824242424242424,0.1843939393939394,0.1806060606060606,0.1837878787878787,0.184090909090909,0.1824242424242424,0.1893939393939394,0.1928787878787878,0.1895454545454545,0.1966666666666666,0.2048484848484848,0.1986363636363636,0.2053030303030303,0.2083333333333333,0.2143939393939394,0.2103030303030303,0.2240909090909091,0.2234848484848484,0.2243939393939394,0.2283333333333333,0.2321212121212121,0.2387878787878788
-10,0.2124242424242424,0.2592424242424242,0.2603030303030303,0.2653030303030303,0.2722727272727273,0.27,0.2765151515151515,0.2733333333333333,0.2756060606060606,0.2751515151515151,0.268030303030303,0.2713636363636363,0.2687878787878788,0.2698484848484848,0.2692424242424242,0.2684848484848485,0.2657575757575757,0.2681818181818182,0.2733333333333333,0.2734848484848485,0.2815151515151515,0.2827272727272727,0.2842424242424242,0.2962121212121212,0.2995454545454545,0.2998484848484848,0.308030303030303,0.3037878787878788,0.3103030303030303,0.3112121212121212,0.3342424242424242,0.3295454545454545,0.331060606060606,0.331060606060606,0.3442424242424242,0.3516666666666667
-8,0.3127272727272727,0.3596969696969697,0.3660606060606061,0.3718181818181818,0.3878787878787879,0.3887878787878788,0.3953030303030303,0.3956060606060606,0.4009090909090909,0.4139393939393939,0.4062121212121212,0.4136363636363636,0.4118181818181818,0.4124242424242424,0.4227272727272727,0.4156060606060606,0.4265151515151515,0.4245454545454545,0.4337878787878788,0.4343939393939394,0.4336363636363636,0.4384848484848485,0.4419696969696969,0.4531818181818182,0.4536363636363636,0.46,0.461060606060606,0.4657575757575757,0.4712121212121212,0.4734848484848485,0.4942424242424242,0.4962121212121212,0.4986363636363636,0.5003030303030302,0.5122727272727273,0.5165151515151515
-6,0.4393939393939394,0.4946969696969697,0.5137878787878788,0.5224242424242425,0.531060606060606,0.5428787878787878,0.5377272727272727,0.5522727272727272,0.5515151515151515,0.5642424242424242,0.5690909090909091,0.5837878787878787,0.5893939393939394,0.5877272727272728,0.5913636363636363,0.5942424242424242,0.6042424242424242,0.6054545454545455,0.6081818181818182,0.6146969696969697,0.6127272727272727,0.6157575757575757,0.6222727272727273,0.6383333333333333,0.6443939393939394,0.6459090909090909,0.6524242424242425,0.6559090909090909,0.6584848484848485,0.6556060606060606,0.6763636363636364,0.6887878787878788,0.6925757575757576,0.6922727272727273,0.7004545454545454,0.7034848484848485
-4,0.5372727272727272,0.6092424242424243,0.6246969696969698,0.6406060606060606,0.6515151515151515,0.6590909090909091,0.6675757575757576,0.6753030303030303,0.6833333333333333,0.6868181818181818,0.6971212121212121,0.7095454545454546,0.7072727272727273,0.7231818181818181,0.7348484848484849,0.7403030303030304,0.7353030303030303,0.7413636363636363,0.751969696969697,0.7510606060606061,0.7563636363636363,0.7586363636363637,0.7610606060606061,0.7798484848484849,0.7881818181818182,0.7868181818181819,0.785,0.7927272727272727,0.7936363636363636,0.7977272727272727,0.8148484848484848,0.816060606060606,0.8213636363636364,0.8177272727272727,0.826060606060606,0.8383333333333334
-2,0.6034848484848485,0.6901515151515152,0.7112121212121212,0.7372727272727273,0.7454545454545455,0.7628787878787879,0.7627272727272727,0.7731818181818182,0.7821212121212121,0.785,0.7881818181818182,0.8074242424242424,0.8142424242424242,0.8143939393939394,0.8290909090909091,0.8293939393939394,0.835,0.8331818181818181,0.8424242424242424,0.8456060606060606,0.8504545454545455,0.8575757575757575,0.8554545454545455,0.8675757575757576,0.8722727272727273,0.8763636363636363,0.8725757575757576,0.8760606060606061,0.8768181818181818,0.8793939393939394,0.89,0.8884848484848484,0.8892424242424243,0.8916666666666667,0.8942424242424243,0.8960606060606061
0,0.6366666666666667,0.7353030303030303,0.7671212121212121,0.7892424242424242,0.808939393939394,0.8165151515151515,0.8237878787878787,0.826969696969697,0.8284848484848485,0.8468181818181818,0.8510606060606061,0.8554545454545455,0.8704545454545455,0.8745454545454545,0.8801515151515151,0.8881818181818182,0.8903030303030303,0.8933333333333333,0.8906060606060606,0.8965151515151515,0.8981818181818182,0.9013636363636364,0.8992424242424243,0.9130303030303032,0.9127272727272728,0.9134848484848485,0.9103030303030304,0.9146969696969696,0.9125757575757576,0.911818181818182,0.9148484848484848,0.9172727272727272,0.9192424242424242,0.917121212121212,0.9201515151515152,0.9187878787878788
2,0.6396969696969697,0.7493939393939394,0.7783333333333333,0.8077272727272727,0.8215151515151515,0.8295454545454546,0.83,0.8395454545454546,0.8433333333333334,0.8557575757575757,0.8583333333333333,0.8695454545454545,0.8783333333333333,0.8916666666666667,0.8930303030303031,0.8953030303030303,0.902121212121212,0.9081818181818182,0.911969696969697,0.908939393939394,0.913939393939394,0.9131818181818182,0.9174242424242424,0.921969696969697,0.921969696969697,0.922121212121212,0.9206060606060606,0.922121212121212,0.921969696969697,0.9213636363636364,0.925,0.9265151515151516,0.925,0.9234848484848484,0.9253030303030304,0.9262121212121213
4,0.65,0.7586363636363637,0.7887878787878788,0.8121212121212121,0.8259090909090909,0.8303030303030303,0.8369696969696969,0.8413636363636363,0.8460606060606061,0.8589393939393939,0.8689393939393939,0.8792424242424243,0.8860606060606061,0.8998484848484849,0.8995454545454545,0.9074242424242424,0.9103030303030304,0.908939393939394,0.9148484848484848,0.9163636363636364,0.916969696969697,0.9203030303030304,0.9184848484848483,0.921818181818182,0.9234848484848484,0.9245454545454546,0.9231818181818182,0.9268181818181818,0.9231818181818182,0.926060606060606,0.9259090909090908,0.9275757575757576,0.925,0.9259090909090908,0.9263636363636364,0.9245454545454546
6,0.6521212121212121,0.7581818181818182,0.7984848484848485,0.8153030303030303,0.8324242424242424,0.8406060606060606,0.8448484848484848,0.843939393939394,0.8572727272727273,0.8666666666666667,0.8771212121212121,0.8818181818181818,0.8910606060606061,0.8921212121212121,0.9083333333333332,0.9083333333333332,0.913939393939394,0.916969696969697,0.912121212121212,0.9153030303030304,0.92,0.9174242424242424,0.921969696969697,0.9256060606060608,0.9254545454545454,0.9256060606060608,0.9263636363636364,0.9240909090909092,0.9225757575757576,0.9237878787878788,0.9242424242424242,0.9243939393939394,0.9243939393939394,0.9234848484848484,0.9268181818181818,0.9268181818181818
8,0.6498484848484849,0.7542424242424243,0.7971212121212121,0.8206060606060606,0.8328787878787879,0.8442424242424242,0.8390909090909091,0.8503030303030303,0.8533333333333334,0.8704545454545455,0.8724242424242424,0.8831818181818182,0.8896969696969697,0.9006060606060606,0.9036363636363636,0.9078787878787878,0.907121212121212,0.9124242424242424,0.9151515151515152,0.9193939393939394,0.9196969696969696,0.9206060606060606,0.9195454545454546,0.9248484848484848,0.9283333333333332,0.9275757575757576,0.923939393939394,0.9283333333333332,0.921969696969697,0.927121212121212,0.928939393939394,0.9281818181818182,0.926969696969697,0.9268181818181818,0.9293939393939394,0.9290909090909091
10,0.6607575757575758,0.7628787878787879,0.806060606060606,0.82,0.8307575757575758,0.8446969696969697,0.8410606060606061,0.8436363636363636,0.8483333333333334,0.8596969696969697,0.8696969696969697,0.8813636363636363,0.8921212121212121,0.8975757575757576,0.9046969696969696,0.906969696969697,0.9113636363636364,0.916969696969697,0.9163636363636364,0.9172727272727272,0.9181818181818182,0.9192424242424242,0.9192424242424242,0.9253030303030304,0.9234848484848484,0.9287878787878788,0.9259090909090908,0.9259090909090908,0.9236363636363636,0.9246969696969696,0.9287878787878788,0.9253030303030304,0.9274242424242424,0.926060606060606,0.9254545454545454,0.9281818181818182
12,0.6581818181818182,0.7587878787878788,0.8009090909090909,0.8240909090909091,0.831060606060606,0.8369696969696969,0.8372727272727273,0.8468181818181818,0.8537878787878788,0.8598484848484849,0.8695454545454545,0.8798484848484849,0.8912121212121212,0.8975757575757576,0.9053030303030304,0.9084848484848485,0.9103030303030304,0.9115151515151516,0.92,0.9181818181818182,0.9216666666666666,0.9237878787878788,0.9254545454545454,0.9224242424242424,0.9234848484848484,0.9274242424242424,0.9274242424242424,0.9233333333333332,0.9251515151515152,0.927878787878788,0.9265151515151516,0.9277272727272728,0.9296969696969696,0.9272727272727272,0.9274242424242424,0.9278787878787879
14,0.6503030303030303,0.7571212121212121,0.796060606060606,0.8204545454545454,0.8381818181818181,0.8345454545454546,0.8445454545454546,0.8478787878787879,0.8560606060606061,0.8698484848484849,0.8701515151515151,0.8810606060606061,0.8903030303030303,0.8983333333333333,0.9056060606060606,0.9103030303030304,0.9115151515151516,0.9145454545454546,0.911969696969697,0.915,0.9178787878787878,0.9204545454545454,0.9225757575757576,0.9266666666666666,0.9253030303030304,0.9254545454545454,0.9253030303030304,0.9243939393939394,0.9253030303030304,0.9266666666666666,0.927878787878788,0.9274242424242424,0.928030303030303,0.9259090909090908,0.9292424242424242,0.9275757575757576
16,0.6571212121212121,0.7606060606060606,0.7909090909090909,0.821060606060606,0.828939393939394,0.8372727272727273,0.835,0.8390909090909091,0.853030303030303,0.8601515151515151,0.8707575757575757,0.8804545454545455,0.8865151515151515,0.8968181818181818,0.8960606060606061,0.901818181818182,0.9098484848484848,0.913939393939394,0.9133333333333332,0.9145454545454546,0.9192424242424242,0.916818181818182,0.9175757575757576,0.9234848484848484,0.92,0.921818181818182,0.9213636363636364,0.9245454545454546,0.922878787878788,0.9216666666666666,0.9259090909090908,0.9233333333333332,0.9215151515151516,0.9254545454545454,0.9256060606060608,0.9271212121212121
18,0.6575757575757576,0.7643939393939394,0.7943939393939394,0.8218181818181818,0.8362121212121212,0.8471212121212122,0.8436363636363636,0.8512121212121212,0.858030303030303,0.8674242424242424,0.8731818181818182,0.884090909090909,0.8862121212121212,0.8983333333333333,0.9057575757575758,0.907121212121212,0.908939393939394,0.9128787878787878,0.916060606060606,0.918939393939394,0.9187878787878788,0.9203030303030304,0.9204545454545454,0.9248484848484848,0.925,0.9257575757575758,0.9240909090909092,0.9274242424242424,0.926969696969697,0.926060606060606,0.9263636363636364,0.926060606060606,0.926969696969697,0.9272727272727272,0.9274242424242424,0.9265151515151515
Avg,0.4576212121212121,0.5275757575757576,0.5484772727272728,0.564219696969697,0.5737424242424243,0.5790530303030303,0.5810454545454545,0.5854772727272727,0.589719696969697,0.5967575757575757,0.6009848484848485,0.6082348484848484,0.6128181818181818,0.6185454545454545,0.6235378787878788,0.625719696969697,0.6281136363636364,0.6302348484848485,0.6328257575757575,0.6342878787878787,0.6367954545454545,0.6384015151515151,0.6394848484848484,0.6468939393939394,0.6482954545454546,0.6492121212121212,0.6497348484848485,0.6512651515151515,0.6521742424242424,0.6530833333333333,0.6602272727272728,0.6610757575757575,0.6625378787878788,0.6623787878787879,0.6663030303030303,0.6686287878787879
