dataset,model,label,n,low_mean_pct,low_std_pct,high_mean_pct,high_std_pct,overall_mean_pct,overall_std_pct
2016.10a,AMCNET,AMC-Net,5,36.79,0.36,87.65,0.78,59.79,0.52
2016.10b,AMCNET,AMC-Net,5,41.38,0.12,93.13,0.09,64.75,0.1
2016.10a,FEA_T128,FEA-T,5,35.44,1.68,85.82,2.26,58.37,1.84
2016.10b,FEA_T128,FEA-T,5,34.39,13.64,76.31,37.07,53.35,24.23
2016.10a,MCFormer,MCFormer,5,34.38,0.16,80.47,1.85,55.29,0.8
2016.10b,MCFormer,MCFormer,5,39.63,0.45,91.73,0.58,63.22,0.46
2016.10a,MCLDNN,MCLDNN,5,32.09,4.67,78.5,8.41,53.23,6.24
2016.10b,MCLDNN,MCLDNN,5,34.84,13.89,76.44,37.14,53.64,24.4
2016.10a,PETCGDNN,PET-CGDNN,5,32.82,3.47,81.22,3.34,54.87,3.25
2016.10b,PETCGDNN,PET-CGDNN,5,39.44,0.22,92.34,0.09,63.39,0.15
