dataset,model,aux_mode,seed,test_acc,run_dir
2016.10a,IQFormer,stft,1,0.63625,logs/model_2016.10a_60_1024_0.001_IQFormer_aux-stft_seed1
2016.10a,IQFormer,stft,2,0.6350681818181818,logs/model_2016.10a_60_1024_0.001_IQFormer_aux-stft_seed2
2016.10a,IQFormer,stft,3,0.6356136363636363,logs/model_2016.10a_60_1024_0.001_IQFormer_aux-stft_seed3
2016.10a,IQFormer,stft,4,0.6352045454545454,logs/model_2016.10a_60_1024_0.001_IQFormer_aux-stft_seed4
2016.10a,IQFormer,stft,5,0.6378181818181818,logs/model_2016.10a_60_1024_0.001_IQFormer_aux-stft_seed5
2016.10a,IQFormerLite,kan,1,0.6305,logs/model_2016.10a_60_1024_0.001_IQFormerLite_aux-kan_seed1
2016.10a,IQFormerLite,kan,2,0.6309318181818182,logs/model_2016.10a_60_1024_0.001_IQFormerLite_aux-kan_seed2
2016.10a,IQFormerLite,kan,3,0.6324090909090909,logs/model_2016.10a_60_1024_0.001_IQFormerLite_aux-kan_seed3
2016.10a,IQFormerLite,kan,4,0.6354318181818182,logs/model_2016.10a_60_1024_0.001_IQFormerLite_aux-kan_seed4
2016.10a,IQFormerLite,kan,5,0.6297954545454545,logs/model_2016.10a_60_1024_0.001_IQFormerLite_aux-kan_seed5
2016.10b,IQFormer,stft,1,0.6520041666666667,logs/model_2016.10b_60_1024_0.001_IQFormer_aux-stft_seed1
2016.10b,IQFormer,stft,2,0.6545541666666667,logs/model_2016.10b_60_1024_0.001_IQFormer_aux-stft_seed2
2016.10b,IQFormer,stft,3,0.6534,logs/model_2016.10b_60_1024_0.001_IQFormer_aux-stft_seed3
2016.10b,IQFormer,stft,4,0.6570125,logs/model_2016.10b_60_1024_0.001_IQFormer_aux-stft_seed4
2016.10b,IQFormer,stft,5,0.6540125,logs/model_2016.10b_60_1024_0.001_IQFormer_aux-stft_seed5
2016.10b,IQFormerLite,kan,1,0.6544625,logs/model_2016.10b_60_1024_0.001_IQFormerLite_aux-kan_seed1
2016.10b,IQFormerLite,kan,2,0.6542458333333333,logs/model_2016.10b_60_1024_0.001_IQFormerLite_aux-kan_seed2
2016.10b,IQFormerLite,kan,3,0.6572,logs/model_2016.10b_60_1024_0.001_IQFormerLite_aux-kan_seed3
2016.10b,IQFormerLite,kan,4,0.653975,logs/model_2016.10b_60_1024_0.001_IQFormerLite_aux-kan_seed4
2016.10b,IQFormerLite,kan,5,0.6557375,logs/model_2016.10b_60_1024_0.001_IQFormerLite_aux-kan_seed5
